Group;Grupo_Es;Category;Categoria_Es;Rp (L/s person);Rp (cfm/person);Ra (L/s·m²);Ra (cfm/ft²);Default Occupant Density (#/1000 ft² or #/100 m²);Air Class;ANI;ASM;COR;EDU;FOD;IND;INF;LAB;LOD;LOG;MED;MSC;OFF;RES;RET;SPT
Group;Grupo_Es;Category;Categoria_Es;RP_Ls;Rp_cfm;Ra_Ls;Ra_cfm;DOccDensity;AirClass;ANI;ASM;COR;EDU;FOD;IND;INF;LAB;LOD;LOG;MED;MSC;OFF;RES;RET;SPT
ANIMAL FACILITIES;INSTALACIONES PARA ANIMALES;Animal exam room (veterinary office);Sala de examen de animales (clínica veterinaria);5;10;0.6;0.12;20;2;X;;;;;;;;;;;;;;;
ANIMAL FACILITIES;INSTALACIONES PARA ANIMALES;Animal imaging (MRI/CT/PET);Imagenología animal (IRM/TC/PET);5;10;0.9;0.18;20;3;X;;;;;;;;;;;;;;;
ANIMAL FACILITIES;INSTALACIONES PARA ANIMALES;Animal operating rooms;Quirófanos para animales;5;10;0.9;0.18;20;3;X;;;;;;;;;;;;;;;
ANIMAL FACILITIES;INSTALACIONES PARA ANIMALES;Animal postoperative recovery room;Sala de recuperación postoperatoria para animales;5;10;0.9;0.18;20;3;X;;;;;;;;;;;;;;;
ANIMAL FACILITIES;INSTALACIONES PARA ANIMALES;Animal preparation rooms;Salas de preparación para animales;5;10;0.9;0.18;20;3;X;;;;;;;;;;;;;;;
ANIMAL FACILITIES;INSTALACIONES PARA ANIMALES;Animal procedure room;Sala de procedimientos para animales;5;10;0.9;0.18;20;3;X;;;;;;;;;;;;;;;
ANIMAL FACILITIES;INSTALACIONES PARA ANIMALES;Animal surgery scrub;Lavado quirúrgico para animales;5;10;0.9;0.18;20;3;X;;;;;;;;;;;;;;;
ANIMAL FACILITIES;INSTALACIONES PARA ANIMALES;Large-animal holding room;Sala de alojamiento para animales grandes;5;10;0.9;0.18;20;3;X;;;;;;;;;;;;;;;
ANIMAL FACILITIES;INSTALACIONES PARA ANIMALES;Necropsy;Necropsia;5;10;0.9;0.18;20;3;X;;;;;;;;;;;;;;;
ANIMAL FACILITIES;INSTALACIONES PARA ANIMALES;Small-animal-cage room (static cages);Sala de jaulas para animales pequeños (jaulas estáticas);5;10;0.9;0.18;20;3;X;;;;;;;;;;;;;;;
ANIMAL FACILITIES;INSTALACIONES PARA ANIMALES;Small-animal-cage room (ventilated cages);Sala de jaulas para animales pequeños (jaulas ventiladas);5;10;0.9;0.18;20;3;X;;;;;;;;;;;;;;;
CORRECTIONAL FACILITIES;INSTALACIONES CORRECCIONALES;Booking/waiting;Registro/espera;3.8;7.5;0.3;0.06;50;2;;;X;;;;;;;;;;;;;
CORRECTIONAL FACILITIES;INSTALACIONES CORRECCIONALES;Cell;Celda;2.5;5;0.6;0.12;25;2;;;X;;;;;;;;;;;;;
CORRECTIONAL FACILITIES;INSTALACIONES CORRECCIONALES;Dayroom;Sala de estar (centro correccional);2.5;5;0.3;0.06;30;1;;;X;;;;;;;;;;;;;
CORRECTIONAL FACILITIES;INSTALACIONES CORRECCIONALES;Guard stations;Estaciones de guardia;2.5;5;0.3;0.06;15;1;;;X;;;;;;;;;;;;;
EDUCATIONAL FACILITIES;INSTALACIONES EDUCATIVAS;Art classroom;Aula de arte;5;10;0.9;0.18;20;2;;;;X;;;;;;;;;;;;
EDUCATIONAL FACILITIES;INSTALACIONES EDUCATIVAS;Classrooms (ages 5 to 8);Aulas (5 a 8 años);5;10;0.6;0.12;25;1;;;;X;;;;;;;;;;;;
EDUCATIONAL FACILITIES;INSTALACIONES EDUCATIVAS;Classrooms (age 9 plus);Aulas (9 años o más);5;10;0.6;0.12;35;1;;;;X;;;;;;;;;;;;
EDUCATIONAL FACILITIES;INSTALACIONES EDUCATIVAS;Computer lab;Laboratorio de computación;5;10;0.6;0.12;25;1;;;;X;;;;;;;;;;;;
EDUCATIONAL FACILITIES;INSTALACIONES EDUCATIVAS;Daycare sickroom;Sala de enfermos de guardería;5;10;0.9;0.18;25;3;;;;X;;;;;;;X;;;;;
EDUCATIONAL FACILITIES;INSTALACIONES EDUCATIVAS;Daycare (through age 4);Guardería (hasta los 4 años);5;10;0.9;0.18;25;2;;;;X;;;;;;;;;;;;
EDUCATIONAL FACILITIES;INSTALACIONES EDUCATIVAS;Lecture classroom;Aula de conferencias;3.8;7.5;0.3;0.06;65;1;;;;X;;;;;;;;;;;;
EDUCATIONAL FACILITIES;INSTALACIONES EDUCATIVAS;Lecture hall (fixed seats);Sala de conferencias (asientos fijos);3.8;7.5;0.3;0.06;150;1;;X;;X;;;;;;;;;;;;
EDUCATIONAL FACILITIES;INSTALACIONES EDUCATIVAS;Libraries;Bibliotecas;2.5;5;0.6;0.12;10;1;;X;;X;;;;;;;;;;;;
EDUCATIONAL FACILITIES;INSTALACIONES EDUCATIVAS;Media center;Centro de medios;5;10;0.6;0.12;25;1;;;;X;;;;;;;;;;;;
EDUCATIONAL FACILITIES;INSTALACIONES EDUCATIVAS;Multiuse assembly;Asamblea multiuso;3.8;7.5;0.3;0.06;100;1;;X;;X;;;;;;;;;;;;
